"Kanton","Anzahl_Einwohner","Waldfläche","Anzahl_Bäume","Baum_Pro_Pers","Rang_Baum_Pro_Pers","Rang_Einwohner","Rang_Waldfläche","Kum_Waldfläche","Rel_Kum_Waldfläche"
"Graubünden",195886,200002,80000800,408.40488855763,1,14,1,200002,0.158681622788992
"Bern",1009418,176071,70428400,69.7712939535455,11,2,2,376073,0.298376385871764
"Tessin",350363,142293,56917200,162.452085408562,6,8,3,518366,0.411271677676416
"Waadt",761446,126641,50656400,66.5265823183785,13,3,4,645007,0.511748669864598
"Wallis",331763,109009,43603600,131.429966572523,7,9,5,754016,0.598236430080022
"St.Gallen",495824,54931,21972400,44.3149181967795,18,5,6,808947,0.64181869536448
"Zürich",1446354,50243,20097200,13.8950768622343,24,1,7,859190,0.681681500605364
"Aargau",645277,49016,19606400,30.3844705452077,20,4,8,908206,0.720570803825458
"Freiburg",303377,42959,17183600,56.6410769438685,15,10,9,951165,0.754654482155637
"Luzern",394604,39341,15736400,39.8789672684514,19,7,10,990506,0.78586763863478
"Jura",72410,37252,14900800,205.783731528794,4,20,11,1027758,0.815423382138023
"Solothurn",263719,31602,12640800,47.9328376036615,17,13,12,1059360,0.840496414624587
"Neuenburg",177327,30556,12222400,68.9257699053162,12,16,13,1089916,0.86473955052293
"Schwyz",152759,27643,11057200,72.3832965651778,10,17,14,1117559,0.886671511697099
"Glarus",39794,21017,8406800,211.257978589737,3,23,15,1138576,0.903346403278964
"Uri",36008,20616,8246400,229.015774272384,2,25,16,1159192,0.919703141388672
"Basel-Landschaft",281301,20412,8164800,29.0251367751981,22,11,17,1179604,0.935898025861672
"Thurgau",263733,19717,7886800,29.90448673469,21,12,18,1199321,0.951541497209612
"Obwalden",36834,18659,7463600,202.62800673291,5,24,19,1217980,0.966345551167171
"Schaffhausen",79417,12677,5070800,63.8503091277686,14,19,20,1230657,0.97640348524831
"Nidwalden",42080,7758,3103200,73.745247148289,9,22,21,1238415,0.982558683844309
"Appenzell A.Rh.",54064,7191,2876400,53.2036105356614,16,21,22,1245606,0.988264024538281
"Zug",120089,6447,2578800,21.474073395565,23,18,23,1252053,0.993379075498374
"Appenzell I.Rh.",15854,4869,1947600,122.845969471427,8,26,24,1256922,0.997242140974518
"Genf",477385,3005,1202000,2.51788388826628,25,6,25,1259927,0.999626308515247
"Basel-Stadt",190580,471,188400,0.988561234127401,26,15,26,1260398,1
